subject,type,standard_score,male,female
korean,korean,141,404,493
korean,korean,139,517,623
korean,korean,138,694,932
korean,korean,137,486,573
korean,korean,136,1264,1441
korean,korean,135,943,1148
korean,korean,134,1393,1708
korean,korean,133,1544,1842
korean,korean,132,1719,1974
korean,korean,131,2048,2507
korean,korean,130,2016,2427
korean,korean,129,2373,3037
korean,korean,128,2439,3015
korean,korean,127,2664,3352
korean,korean,126,2859,3374
korean,korean,125,2991,3703
korean,korean,124,3118,3987
korean,korean,123,3166,4005
korean,korean,122,3450,4309
korean,korean,121,3415,4267
korean,korean,120,3788,4569
korean,korean,119,3795,4721
korean,korean,118,3982,4837
korean,korean,117,4160,4889
korean,korean,116,4094,5019
korean,korean,115,4380,5305
korean,korean,114,4442,5338
korean,korean,113,4599,5521
korean,korean,112,4617,5365
korean,korean,111,4731,5564
korean,korean,110,4721,5659
korean,korean,109,4792,5537
korean,korean,108,4782,5521
korean,korean,107,4814,5621
korean,korean,106,4952,5524
korean,korean,105,4930,5498
korean,korean,104,4930,5504
korean,korean,103,4939,5402
korean,korean,102,4987,5326
korean,korean,101,4865,5226
korean,korean,100,4961,5087
korean,korean,99,4782,5048
korean,korean,98,4899,5001
korean,korean,97,4736,4711
korean,korean,96,4560,4541
korean,korean,95,4666,4572
korean,korean,94,4386,4257
korean,korean,93,4362,4161
korean,korean,92,4117,3968
korean,korean,91,4120,3815
korean,korean,90,3959,3622
korean,korean,89,3851,3547
korean,korean,88,3704,3343
korean,korean,87,3625,3181
korean,korean,86,3474,2981
korean,korean,85,3290,2828
korean,korean,84,3280,2770
korean,korean,83,3089,2539
korean,korean,82,2938,2371
korean,korean,81,2840,2307
korean,korean,80,2808,2162
korean,korean,79,2614,2069
korean,korean,78,2623,2008
korean,korean,77,2602,1953
korean,korean,76,2388,1743
korean,korean,75,2575,1822
korean,korean,74,2290,1597
korean,korean,73,2214,1516
korean,korean,72,2151,1539
korean,korean,71,2056,1412
korean,korean,70,2168,1419
korean,korean,69,1880,1353
korean,korean,68,2110,1389
korean,korean,67,1783,1152
korean,korean,66,7158,3107
korean,korean,65,1758,1158
korean,korean,64,2078,1115
korean,korean,63,1835,1075
korean,korean,62,1786,1121
korean,korean,61,1729,970
korean,korean,60,1541,895
korean,korean,59,3544,1631
korean,korean,58,1253,790
korean,korean,57,1042,583
korean,korean,56,907,566
korean,korean,55,1188,597
korean,korean,54,664,375
korean,korean,53,535,283
korean,korean,52,385,218
korean,korean,51,377,154
korean,korean,50,261,100
korean,korean,49,164,93
korean,korean,48,61,26
korean,korean,47,65,38
korean,korean,46,18,10
korean,korean,45,37,29
korean,korean,44,5,6
korean,korean,43,29,20
korean,korean,41,368,131
