subject,type,standard_score,male,female
korean,korean,138,117,117
korean,korean,136,409,341
korean,korean,135,106,83
korean,korean,134,850,665
korean,korean,133,436,404
korean,korean,132,1164,897
korean,korean,131,1019,875
korean,korean,130,1412,1141
korean,korean,129,3336,2865
korean,korean,128,2143,1948
korean,korean,127,2020,1872
korean,korean,126,2542,2495
korean,korean,125,2441,2426
korean,korean,124,2841,2770
korean,korean,123,2831,2847
korean,korean,122,2989,3096
korean,korean,121,3141,3327
korean,korean,120,3112,3423
korean,korean,119,3438,3839
korean,korean,118,6863,7667
korean,korean,117,3344,3820
korean,korean,116,3621,4129
korean,korean,115,3544,3884
korean,korean,114,3524,4200
korean,korean,113,3546,4053
korean,korean,112,3617,4207
korean,korean,111,3580,4143
korean,korean,110,3511,3995
korean,korean,109,3553,3942
korean,korean,108,6840,7869
korean,korean,107,3342,3818
korean,korean,106,3373,3727
korean,korean,105,3242,3725
korean,korean,104,3138,3494
korean,korean,103,3112,3483
korean,korean,102,2998,3372
korean,korean,101,2883,3248
korean,korean,100,2847,3162
korean,korean,99,2764,3002
korean,korean,98,2631,2804
korean,korean,97,5098,5506
korean,korean,96,2409,2536
korean,korean,95,2309,2530
korean,korean,94,2333,2365
korean,korean,93,2294,2254
korean,korean,92,2230,2166
korean,korean,91,2102,2157
korean,korean,90,2060,1968
korean,korean,89,2022,1896
korean,korean,88,1879,1880
korean,korean,87,3661,3529
korean,korean,86,1719,1687
korean,korean,85,1682,1652
korean,korean,84,1568,1567
korean,korean,83,1765,1578
korean,korean,82,1578,1436
korean,korean,81,1569,1442
korean,korean,80,1478,1345
korean,korean,79,1556,1363
korean,korean,78,1432,1339
korean,korean,77,1413,1283
korean,korean,76,2882,2433
korean,korean,75,1459,1178
korean,korean,74,1368,1112
korean,korean,73,1654,1236
korean,korean,72,1454,1033
korean,korean,71,1653,1214
korean,korean,70,1623,1101
korean,korean,69,1747,1100
korean,korean,68,1749,1107
korean,korean,67,3853,2146
korean,korean,66,1852,1119
korean,korean,65,8977,3925
korean,korean,64,1896,1100
korean,korean,63,2000,1104
korean,korean,62,1209,673
korean,korean,61,998,536
korean,korean,60,925,525
korean,korean,59,730,376
korean,korean,58,680,381
korean,korean,57,473,237
korean,korean,56,461,273
korean,korean,55,792,435
korean,korean,54,175,91
korean,korean,53,139,83
korean,korean,52,104,44
korean,korean,51,18,7
korean,korean,50,61,24
korean,korean,49,6,7
korean,korean,48,75,20
korean,korean,46,897,325
