subject,type,standard_score,male,female
korean,korean,136,651 ,841 
korean,korean,134,906 ,"1,087 "
korean,korean,133,815 ,"1,014 "
korean,korean,132,"1,395 ","1,570 "
korean,korean,131,"1,584 ","1,781 "
korean,korean,130,"1,815 ","2,017 "
korean,korean,129,"1,900 ","2,101 "
korean,korean,128,"2,083 ","2,287 "
korean,korean,127,"2,203 ","2,356 "
korean,korean,126,"2,379 ","2,488 "
korean,korean,125,"2,669 ","2,792 "
korean,korean,124,"2,835 ","3,055 "
korean,korean,123,"2,678 ","3,013 "
korean,korean,122,"2,867 ","3,229 "
korean,korean,121,"2,997 ","3,353 "
korean,korean,120,"2,839 ","3,083 "
korean,korean,119,"3,184 ","3,472 "
korean,korean,118,"3,066 ","3,417 "
korean,korean,117,"3,651 ","3,947 "
korean,korean,116,"3,035 ","3,409 "
korean,korean,115,"3,355 ","3,652 "
korean,korean,114,"3,413 ","3,988 "
korean,korean,113,"3,477 ","3,808 "
korean,korean,112,"3,306 ","3,959 "
korean,korean,111,"3,409 ","3,694 "
korean,korean,110,"3,506 ","3,961 "
korean,korean,109,"3,544 ","3,838 "
korean,korean,108,"3,590 ","3,913 "
korean,korean,107,"3,257 ","3,676 "
korean,korean,106,"3,705 ","4,087 "
korean,korean,105,"3,310 ","3,690 "
korean,korean,104,"3,393 ","3,764 "
korean,korean,103,"3,439 ","3,627 "
korean,korean,102,"3,403 ","3,736 "
korean,korean,101,"3,555 ","3,775 "
korean,korean,100,"3,007 ","3,191 "
korean,korean,99,"3,378 ","3,490 "
korean,korean,98,"2,946 ","3,214 "
korean,korean,97,"3,287 ","3,342 "
korean,korean,96,"2,884 ","3,089 "
korean,korean,95,"3,114 ","3,230 "
korean,korean,94,"2,818 ","2,792 "
korean,korean,93,"2,963 ","2,916 "
korean,korean,92,"2,638 ","2,610 "
korean,korean,91,"2,734 ","2,596 "
korean,korean,90,"2,696 ","2,719 "
korean,korean,89,"2,421 ","2,284 "
korean,korean,88,"2,415 ","2,429 "
korean,korean,87,"2,289 ","2,199 "
korean,korean,86,"2,213 ","2,243 "
korean,korean,85,"2,000 ","1,967 "
korean,korean,84,"2,117 ","1,967 "
korean,korean,83,"2,030 ","1,882 "
korean,korean,82,"1,884 ","1,743 "
korean,korean,81,"1,755 ","1,614 "
korean,korean,80,"1,794 ","1,597 "
korean,korean,79,"1,798 ","1,540 "
korean,korean,78,"1,606 ","1,402 "
korean,korean,77,"1,676 ","1,577 "
korean,korean,76,"1,371 ","1,220 "
korean,korean,75,"1,605 ","1,320 "
korean,korean,74,"1,383 ","1,113 "
korean,korean,73,"1,677 ","1,327 "
korean,korean,72,"1,456 ","1,116 "
korean,korean,71,"1,344 ","1,064 "
korean,korean,70,"1,668 ","1,291 "
korean,korean,69,"1,538 ","1,128 "
korean,korean,68,"1,389 ",969 
korean,korean,67,"2,056 ","1,263 "
korean,korean,66,"1,757 ","1,125 "
korean,korean,65,"1,572 ",989 
korean,korean,64,"1,454 ",911 
korean,korean,63,"2,483 ","1,459 "
korean,korean,62,"2,878 ","1,320 "
korean,korean,61,"1,455 ",800 
korean,korean,60,948 ,581 
korean,korean,59,"3,440 ","1,381 "
korean,korean,58,"1,009 ",522 
korean,korean,57,560 ,282 
korean,korean,56,431 ,236 
korean,korean,55,363 ,195 
korean,korean,54,231 ,148 
korean,korean,53,154 ,85 
korean,korean,52,148 ,62 
korean,korean,51,97 ,39 
korean,korean,50,59 ,37 
korean,korean,49,45 ,15 
korean,korean,48,33 ,17 
korean,korean,47,262 ,101 
korean,korean,46,32 ,8 
korean,korean,45,6 ,3 
korean,korean,44,465 ,212 
