normalized_score,male,female
65,495,180
66,215,74
67,15,12
68,110,52
69,193,97
70,124,72
71,532,220
72,445,236
73,1246,683
74,1964,1192
75,1844,945
76,7767,3664
77,2023,1154
78,6657,3532
79,2244,1451
80,4973,3337
81,4751,3313
82,2361,1783
83,4375,3526
84,2253,1849
85,4370,3807
86,2194,2007
87,4548,4286
88,4894,4533
89,2407,2362
90,5229,4910
91,2603,2595
92,5260,5462
93,5588,5843
94,3061,3260
95,5831,6299
96,3009,3234
97,6058,6644
98,3003,3577
99,6289,7204
100,6351,7529
101,3128,3748
102,6553,7815
103,3271,3995
104,6500,8157
105,6499,8166
106,3914,4855
107,6162,7895
108,3096,3826
109,6014,7426
110,2901,3555
111,5709,6765
112,5183,6097
113,2441,2864
114,4486,4941
115,2118,2263
116,3769,3950
117,1651,1496
118,2933,2801
119,2438,2117
120,870,703
121,1681,1358
122,594,440
123,886,666
124,620,439
125,152,89
126,191,129
127,103,79
