subject,type,standard_score,male,female
korean,korean,129,"4,182","3,517"
korean,korean,127,"7,132","6,554"
korean,korean,126,"4,402","3,654"
korean,korean,125,"3,637","4,031"
korean,korean,124,"3,810","3,232"
korean,korean,123,"8,438","8,735"
korean,korean,122,"4,567","4,898"
korean,korean,121,"4,102","4,407"
korean,korean,120,"4,622","4,761"
korean,korean,119,"8,739","9,744"
korean,korean,118,"4,564","5,400"
korean,korean,117,"4,292","4,706"
korean,korean,116,"4,624","5,317"
korean,korean,115,"8,771","10,064"
korean,korean,114,"4,344","5,028"
korean,korean,113,"4,443","4,944"
korean,korean,112,"4,236","5,032"
korean,korean,111,"8,431","9,444"
korean,korean,110,"4,065","4,647"
korean,korean,109,"4,054","4,485"
korean,korean,108,"3,912","4,353"
korean,korean,107,"7,595","8,499"
korean,korean,106,"3,703","4,107"
korean,korean,105,"3,657","4,032"
korean,korean,104,"3,342","3,825"
korean,korean,103,"6,866","7,347"
korean,korean,102,"3,257","3,457"
korean,korean,101,"3,162","3,234"
korean,korean,100,"3,074","3,358"
korean,korean,99,"5,682","6,098"
korean,korean,98,"2,730","2,953"
korean,korean,97,"2,787","2,802"
korean,korean,96,"2,605","2,801"
korean,korean,95,"4,830","5,093"
korean,korean,94,"2,185","2,429"
korean,korean,93,"2,224","2,392"
korean,korean,92,"2,095","2,206"
korean,korean,91,"4,068","4,273"
korean,korean,90,"1,896","2,010"
korean,korean,89,"1,799","1,880"
korean,korean,88,"1,780","1,808"
korean,korean,87,"3,455","3,537"
korean,korean,86,"1,669","1,624"
korean,korean,85,"1,648","1,646"
korean,korean,84,"1,595","1,524"
korean,korean,83,"3,137","3,181"
korean,korean,82,"1,501","1,507"
korean,korean,81,"1,476","1,503"
korean,korean,80,"1,536","1,435"
korean,korean,79,"3,168","3,025"
korean,korean,78,"1,623","1,465"
korean,korean,77,"1,632","1,507"
korean,korean,76,"1,627","1,439"
korean,korean,75,"3,628","2,933"
korean,korean,74,"1,936","1,623"
korean,korean,73,"1,916","1,492"
korean,korean,72,"2,283","1,758"
korean,korean,71,"4,412","3,379"
korean,korean,70,"2,197","1,627"
korean,korean,69,"9,204","4,174"
korean,korean,68,"2,950","2,017"
korean,korean,67,"4,685","3,329"
korean,korean,66,"2,246","1,413"
korean,korean,65,"2,357","1,563"
korean,korean,64,"2,122","1,314"
korean,korean,63,"7,195","4,129"
korean,korean,62,"2,285","1,385"
korean,korean,61,"1,378",823
korean,korean,60,"1,250",750
korean,korean,59,"1,573",907
korean,korean,58,523,282
korean,korean,57,434,261
korean,korean,56,193,131
korean,korean,55,305,181
korean,korean,54,253,151
korean,korean,53,32,18
korean,korean,52,83,36
korean,korean,51,68,52
korean,korean,49,896,375
