normalized_score,male,female
65,135,58
66,0,0
67,18,16
68,23,18
69,28,18
70,90,61
71,164,85
72,323,149
73,219,110
74,319,162
75,1030,549
76,1415,749
77,1763,690
78,1942,1103
79,2550,1492
80,2872,1702
81,2102,1226
82,1649,1129
83,3371,2384
84,1851,1296
85,3881,2787
86,4102,3279
87,4281,3749
88,2285,1923
89,4898,4365
90,2491,2371
91,5399,5005
92,2824,2704
93,5841,5543
94,6070,5938
95,6469,6515
96,3357,3375
97,6807,6972
98,3502,3559
99,7146,7697
100,3763,3832
101,7688,7929
102,7768,8203
103,7910,8336
104,4085,4204
105,8189,8409
106,4129,4242
107,8016,8435
108,3964,4233
109,8036,8321
110,7926,8148
111,3880,4001
112,7445,7663
113,7125,6934
114,3558,3508
115,3253,3061
116,6163,5814
117,5437,5109
118,4715,4278
119,1902,1710
120,3560,2965
121,2794,2246
122,851,720
123,1013,843
124,1122,820
125,556,389
126,256,181
127,93,58
