normalized_score,male,female
65,137,90
66,31,40
67,38,41
68,30,17
69,81,81
70,168,125
71,418,224
72,251,139
73,890,451
74,600,291
75,652,340
76,1652,847
77,3426,1428
78,1383,701
79,2576,1481
80,3007,1751
81,2052,1162
82,3615,2140
83,3636,2423
84,4220,2577
85,2028,1427
86,4319,3049
87,2332,1596
88,2390,1801
89,5079,3687
90,5292,4180
91,2848,2223
92,5829,4751
93,6122,5243
94,3255,2763
95,6708,6141
96,7095,6713
97,7722,7223
98,3944,3961
99,8516,8456
100,4359,4386
101,4455,4626
102,9182,9945
103,9841,10628
104,5013,5615
105,10263,11647
106,10479,12148
107,5396,6301
108,10981,12615
109,10958,12815
110,11047,12697
111,5494,6321
112,10781,11985
113,5161,5801
114,5109,5607
115,9752,10490
116,9272,9528
117,4506,4719
118,8133,7973
119,7424,6655
120,3135,2761
121,5933,5140
122,4820,3999
123,3579,2696
124,1184,908
125,2136,1527
126,0,0
127,761,516
