normalized_score,male,female
65,726,297
66,293,91
67,42,14
68,97,43
69,56,37
70,295,136
71,225,112
72,613,337
73,558,327
74,1440,891
75,1413,906
76,6650,3068
77,1793,1126
78,3740,2273
79,3161,1567
80,3844,2483
81,5232,3518
82,2323,1585
83,3624,2816
84,1625,1360
85,3350,3014
86,1772,1516
87,3558,3107
88,1783,1582
89,3883,3511
90,2011,1934
91,4311,4074
92,2144,1927
93,4421,4191
94,2395,2318
95,4802,4667
96,2534,2526
97,5660,5778
98,2627,2748
99,5454,5967
100,2910,3128
101,5941,6437
102,3626,4072
103,6656,7452
104,3318,3729
105,6880,7873
106,3472,4092
107,7465,8707
108,3571,4136
109,7369,8637
110,3628,4209
111,7139,8405
112,6587,8101
113,3747,4332
114,6866,7605
115,3070,3517
116,5213,5615
117,2244,2361
118,4281,4376
119,2135,1988
120,3441,3166
121,1377,1234
122,2135,1981
123,884,683
124,1200,876
125,319,212
126,277,265
127,197,146
