normalized_score,male,female
65,896,375
66,0,0
67,151,88
68,32,18
69,253,151
70,498,312
71,434,261
72,523,282
73,1573,907
74,2628,1573
75,2285,1385
76,7195,4129
77,4479,2877
78,2246,1413
79,4685,3329
80,12154,6191
81,2197,1627
82,4412,3379
83,2283,1758
84,3852,3115
85,3628,2933
86,1627,1439
87,3255,2972
88,3168,3025
89,1536,1435
90,1476,1503
91,4638,4688
92,1595,1524
93,1648,1646
94,5124,5161
95,1780,1808
96,1799,1880
97,1896,2010
98,6163,6479
99,2224,2392
100,2185,2429
101,7435,7894
102,2787,2802
103,2730,2953
104,5682,6098
105,6236,6592
106,3257,3457
107,6866,7347
108,6999,7857
109,3703,4107
110,7595,8499
111,3912,4353
112,8119,9132
113,8431,9444
114,4236,5032
115,8787,9972
116,8771,10064
117,4624,5317
118,8856,10106
119,8739,9744
120,4622,4761
121,4102,4407
122,13005,13633
123,3810,3232
124,3637,4031
125,11534,10208
126,0,0
127,4182,3517
