normalized_score,male,female
65,653,252
66,67,33
67,42,20
68,82,42
69,98,40
70,134,70
71,352,194
72,280,156
73,1596,864
74,1250,779
75,2161,1167
76,1399,840
77,1628,990
78,12701,6322
79,2131,1493
80,5036,3488
81,2376,1770
82,4326,3445
83,2051,1742
84,2122,1724
85,6313,5596
86,1973,2043
87,4302,4071
88,2179,2144
89,4385,4400
90,2161,2383
91,6859,7391
92,2288,2621
93,2443,2691
94,4985,5365
95,2499,2779
96,7791,8592
97,2594,2934
98,5326,6136
99,2792,3083
100,2799,3072
101,5572,6187
102,2787,3212
103,8556,9612
104,2736,3193
105,5678,6427
106,2791,3138
107,5603,6358
108,2805,3100
109,5438,6173
110,5345,5952
111,2716,2841
112,5223,5532
113,2617,2765
114,7558,7675
115,2372,2436
116,2373,2453
117,4732,4553
118,2199,2016
119,4361,3991
120,2038,1757
121,5775,4994
122,1426,1169
123,1779,1505
124,2595,2087
125,1362,995
126,1804,1413
127,664,587
