normalized_score,male,female
65,145,74
66,84,30
67,27,17
68,48,40
69,66,36
70,52,55
71,179,136
72,371,225
73,567,321
74,888,560
75,1362,849
76,1685,1005
77,3558,2060
78,2586,1812
79,1613,1042
80,3214,2094
81,3097,2317
82,3719,2796
83,3536,2891
84,2251,1720
85,4025,3684
86,4697,4106
87,5148,4664
88,5092,4952
89,2969,2852
90,5569,5446
91,6561,6209
92,6588,6479
93,6458,6726
94,3691,3856
95,6854,7013
96,7688,7849
97,7595,7890
98,3804,3895
99,7737,7991
100,7640,8002
101,8050,8409
102,8278,8494
103,3755,4061
104,7740,7973
105,7983,8316
106,7312,7357
107,7699,7728
108,3262,3316
109,6913,6787
110,6856,6953
111,5564,5514
112,5622,5488
113,2277,2250
114,5054,4790
115,4302,4253
116,3452,3206
117,1633,1570
118,2565,2330
119,2403,2031
120,1672,1537
121,1171,968
122,458,428
123,706,525
124,430,359
125,163,146
126,24,35
127,34,30
