normalized_score,male,female
65,988,399
66,95,39
67,69,33
68,154,78
69,86,66
70,365,217
71,913,522
72,676,447
73,1690,974
74,1157,660
75,3514,2281
76,4360,2762
77,1942,1258
78,11095,5901
79,4565,3106
80,4724,3536
81,2403,1830
82,6787,5775
83,2338,2055
84,2038,1873
85,4277,3973
86,2127,2090
87,4136,4087
88,4239,4173
89,4185,4358
90,2261,2326
91,4521,4572
92,2371,2416
93,2372,2539
94,7526,7763
95,2677,2748
96,5458,5760
97,2873,2934
98,5887,6100
99,5879,6326
100,2942,3300
101,6372,6739
102,3166,3543
103,6520,7073
104,3279,3643
105,10208,11299
106,3555,3860
107,7166,7916
108,3554,3983
109,3650,3959
110,7226,7967
111,7290,8150
112,7276,8001
113,3697,3939
114,7026,7723
115,3258,3626
116,3430,3697
117,9201,9693
118,2931,3008
119,4928,4893
120,2202,2077
121,3728,3567
122,2802,2507
123,848,655
124,1649,1305
125,372,305
126,535,408
127,314,214
