normalized_score,male,female
65,519,190
66,48,19
67,199,54
68,49,20
69,135,70
70,125,59
71,443,274
72,322,170
73,555,276
74,1507,769
75,1338,706
76,4617,1732
77,3715,2047
78,2516,1090
79,3397,2119
80,2893,1659
81,1514,1058
82,3168,2103
83,1318,894
84,2421,1906
85,1098,900
86,1146,945
87,2036,1773
88,1022,890
89,1011,945
90,2014,1873
91,1022,991
92,2252,2130
93,1222,1132
94,1188,1123
95,2621,2431
96,1413,1310
97,3053,2957
98,1738,1702
99,1762,1789
100,3928,3829
101,1980,2052
102,4577,4731
103,2333,2424
104,2680,2881
105,5576,5973
106,3202,3500
107,3018,3338
108,7287,7996
109,3628,3782
110,7742,8585
111,3931,4386
112,4620,5201
113,8958,10120
114,4338,4618
115,9752,11154
116,5558,6184
117,4536,4976
118,9516,10512
119,4836,5346
120,5951,6492
121,9420,9820
122,5215,5487
123,7716,7817
124,4517,4488
125,5213,4792
126,2946,2787
127,3398,3010
