normalized_score,male,female
65,230,105
66,37,36
67,38,45
68,21,22
69,101,77
70,86,46
71,255,142
72,438,269
73,354,176
74,1133,627
75,788,462
76,2186,1131
77,3141,1730
78,5084,2620
79,1998,1229
80,2667,1605
81,4818,3307
82,5252,3843
83,5762,4288
84,2986,2423
85,3081,2461
86,6537,5513
87,6954,6127
88,7258,6757
89,3759,3615
90,7918,7474
91,4160,4085
92,8605,8380
93,8911,8701
94,4551,4526
95,9339,9611
96,9479,9484
97,4835,4992
98,4968,4943
99,9850,10264
100,9964,10475
101,10223,10755
102,5076,5137
103,5172,5300
104,10030,10926
105,10008,10697
106,9838,10674
107,9513,10156
108,0,0
109,9135,9644
110,8769,9024
111,8078,8180
112,7288,7347
113,3360,3298
114,3259,3196
115,5790,5376
116,4975,4513
117,2184,1868
118,3571,3087
119,2737,2278
120,1018,797
121,1745,1286
122,573,442
123,938,615
124,572,357
125,154,86
126,188,79
127,98,50
