normalized_score,male,female
65,739,262
66,66,30
67,66,28
68,134,78
69,104,62
70,201,94
71,559,324
72,435,244
73,2284,1347
74,1830,1085
75,3486,2156
76,1417,933
77,3443,2133
78,1898,1189
79,14435,7521
80,1949,1361
81,2232,1407
82,3488,2400
83,1533,1106
84,3083,2446
85,2896,2562
86,2888,2593
87,1447,1324
88,3115,2882
89,1592,1520
90,3316,3334
91,3681,3551
92,1989,1856
93,4142,4121
94,2211,2246
95,4887,4836
96,2631,2659
97,5593,5566
98,6224,6194
99,6606,6708
100,3464,3477
101,3518,3553
102,7518,7866
103,3853,4189
104,12061,12918
105,4138,4608
106,8710,9463
107,4404,4919
108,8986,9953
109,4614,5118
110,13438,15238
111,4827,5460
112,4552,5173
113,9146,10502
114,4574,5253
115,8984,10186
116,4604,5285
117,12600,14101
118,4257,4610
119,7456,8453
120,3793,3975
121,6635,7098
122,2459,2510
123,5031,4919
124,4067,3824
125,753,882
126,1610,1492
127,749,768
