normalized_score,male,female
65,111,60
66,15,15
67,60,29
68,49,40
69,86,43
70,61,45
71,172,134
72,169,98
73,560,342
74,878,434
75,545,324
76,1568,915
77,2320,1117
78,2498,1305
79,2971,1648
80,1319,848
81,3094,1970
82,1404,862
83,3070,2021
84,3231,2307
85,1547,1137
86,3205,2411
87,1653,1276
88,3278,2635
89,3475,2882
90,1868,1556
91,3775,3124
92,2051,1776
93,3966,3527
94,4279,3715
95,2119,1870
96,4492,4040
97,2330,2184
98,4827,4464
99,5163,4995
100,2476,2600
101,5249,5335
102,2755,2763
103,5937,6040
104,6125,6385
105,3632,3643
106,6815,7262
107,3657,3881
108,8121,8699
109,8668,9423
110,4208,4767
111,9447,10413
112,5052,5509
113,10553,11666
114,10299,11345
115,5321,5667
116,10641,11616
117,4790,5045
118,9744,10158
119,9248,9344
120,4365,4092
121,7594,7477
122,2645,2617
123,4233,3599
124,2104,1579
125,1053,660
126,604,393
127,218,153
