normalized_score,male,female
65,618,250
66,244,73
67,44,22
68,45,17
69,139,77
70,106,56
71,323,174
72,622,296
73,704,361
74,1482,739
75,1689,891
76,972,560
77,5243,2301
78,936,512
79,3734,1920
80,4414,2555
81,1305,811
82,2973,1950
83,2688,1980
84,1318,1040
85,2426,1851
86,2805,2184
87,1481,1164
88,3003,2429
89,1533,1318
90,3360,2982
91,3844,3395
92,1882,1612
93,4429,4093
94,5045,4579
95,2617,2453
96,5073,4903
97,2941,3001
98,5997,6071
99,6079,6209
100,3577,3654
101,7139,7420
102,7016,7381
103,3900,4149
104,7356,8067
105,3907,4314
106,7317,8002
107,7482,8227
108,3729,4352
109,6674,7498
110,6872,7662
111,3430,3856
112,6154,7026
113,5827,6419
114,2749,3022
115,5057,5570
116,2361,2661
117,3717,4357
118,3826,4078
119,1501,1713
120,2447,2707
121,2064,2242
122,687,833
123,923,1127
124,495,563
125,469,591
126,185,217
127,55,80
