normalized_score,male,female
65,132,87
66,395,246
67,314,230
68,831,449
69,794,458
70,735,459
71,1958,1176
72,1415,838
73,2984,1931
74,4371,2621
75,3790,2683
76,2139,1509
77,2048,1511
78,4413,3324
79,2225,1903
80,4973,3971
81,2587,2091
82,5233,4488
83,2710,2423
84,2870,2603
85,5672,5263
86,3172,2887
87,6353,5835
88,3280,3011
89,6701,6386
90,3444,3298
91,7040,6878
92,3668,3564
93,3718,3623
94,7363,7466
95,3735,3817
96,7630,7841
97,3836,3937
98,7762,8082
99,3873,4086
100,3847,4174
101,7939,8155
102,3902,4291
103,7878,8519
104,3900,4220
105,7805,8365
106,3970,4075
107,7731,8389
108,3915,4139
109,3822,4109
110,7683,8098
111,3868,3984
112,7578,7711
113,3865,3657
114,7380,7371
115,3551,3495
116,3516,3462
117,6649,6465
118,2931,2843
119,5951,5468
120,2615,2335
121,4554,3995
122,2365,2096
123,1197,942
124,2592,2150
125,604,481
126,915,614
127,463,314
