normalized_score,male,female
65,652,232
66,77,19
67,50,21
68,88,59
69,100,53
70,287,177
71,248,129
72,736,437
73,637,324
74,3505,2059
75,1489,871
76,5257,2913
77,7430,3050
78,5114,3095
79,2403,1504
80,6066,3734
81,2507,1901
82,3020,1981
83,8079,6118
84,2858,2221
85,5788,4612
86,2983,2444
87,5984,5183
88,3069,2792
89,6175,5729
90,3237,2990
91,9790,9453
92,3417,3303
93,7003,7003
94,3503,3573
95,7166,7446
96,3625,3873
97,7237,7907
98,3755,4094
99,11185,12379
100,3664,4288
101,7509,8607
102,3925,4239
103,7615,8783
104,3853,4340
105,7594,8739
106,3718,4334
107,11408,13170
108,3767,4308
109,7523,8534
110,3658,4175
111,3767,4148
112,7255,8156
113,3373,4082
114,6685,7671
115,3252,3676
116,9223,10095
117,3061,3314
118,5485,5818
119,2508,2683
120,4898,5065
121,1959,1915
122,3851,3719
123,1907,1821
124,4232,3963
125,439,361
126,1434,1324
127,681,628
