normalized_score,male,female
65,123,53
66,57,26
67,18,21
68,39,35
69,52,37
70,68,52
71,206,135
72,330,199
73,577,351
74,1013,595
75,738,386
76,1718,1086
77,1816,1116
78,2731,1667
79,4206,2379
80,3980,2480
81,2015,1365
82,4025,2785
83,3869,2782
84,4174,3313
85,4111,3279
86,2156,1856
87,4314,3716
88,4494,3861
89,4534,4168
90,4855,4492
91,2528,2448
92,5102,5028
93,5593,5559
94,5906,6017
95,6194,6439
96,3184,3232
97,6440,6774
98,6833,7105
99,7619,8473
100,7473,7997
101,3801,4382
102,8083,8840
103,8274,9335
104,8308,9135
105,8723,10119
106,4334,4771
107,8090,8971
108,8420,8832
109,8174,8723
110,8090,8100
111,3052,3172
112,7581,7314
113,5902,5533
114,5653,5039
115,4641,4111
116,3766,2999
117,1807,1532
118,2773,1990
119,2055,1707
120,1393,1006
121,1020,740
122,228,135
123,486,315
124,292,194
125,106,74
126,18,15
127,15,13
