normalized_score,male,female
65,465,212
66,38,11
67,262,101
68,78,32
69,59,37
70,245,101
71,154,85
72,594,343
73,431,236
74,1569,804
75,3440,1381
76,2403,1381
77,2878,1320
78,3937,2370
79,1572,989
80,3813,2388
81,1389,969
82,1538,1128
83,3012,2355
84,1456,1116
85,3060,2440
86,1605,1320
87,3047,2797
88,1606,1402
89,3592,3137
90,1755,1614
91,3914,3625
92,2117,1967
93,4213,4210
94,2289,2199
95,4836,4713
96,2696,2719
97,5372,5206
98,2963,2916
99,5932,6022
100,2884,3089
101,6233,6556
102,3378,3490
103,6562,6966
104,3403,3736
105,6832,7391
106,3310,3690
107,6962,7763
108,3590,3913
109,7050,7799
110,3409,3694
111,3306,3959
112,6890,7796
113,3355,3652
114,6686,7356
115,3066,3417
116,6023,6555
117,2997,3353
118,5545,6242
119,2835,3055
120,5048,5280
121,2203,2356
122,3983,4388
123,1815,2017
124,2979,3351
125,815,1014
126,906,1087
127,651,841
