normalized_score,male,female
65,1753,1093
66,2149,1425
67,6533,4277
68,7267,3523
69,2254,1693
70,5362,4006
71,2739,2119
72,2541,2079
73,2520,2182
74,5052,4531
75,2581,2410
76,2533,2388
77,2643,2557
78,5177,5252
79,2642,2664
80,2646,2808
81,5425,5540
82,2753,3031
83,2758,3030
84,3007,3072
85,9121,9872
86,3178,3410
87,3275,3423
88,3222,3528
89,6602,7185
90,3479,3646
91,3436,3713
92,6956,7744
93,3652,4048
94,3604,4011
95,3720,4070
96,7523,8086
97,3851,4222
98,3786,4035
99,3837,4252
100,7726,8349
101,3809,4184
102,3779,4210
103,7556,8446
104,3610,4175
105,3601,3989
106,3781,3992
107,7192,7899
108,3504,3884
109,3329,3656
110,3467,3608
111,6419,6865
112,2865,3019
113,2987,3089
114,5364,5405
115,2378,2262
116,2325,2190
117,2122,1934
118,3686,3374
119,1294,1107
120,1540,1385
121,834,656
122,2123,1644
123,569,390
124,70,45
125,334,199
126,0,0
127,36,29
