normalized_score,male,female
65,212,99
66,52,31
67,6,6
68,59,53
69,45,40
70,138,100
71,258,142
72,193,95
73,648,336
74,510,264
75,1238,631
76,859,497
77,2113,1127
78,4019,1705
79,3101,1693
80,3784,2176
81,2040,1190
82,4090,2595
83,2043,1304
84,4677,3134
85,2264,1559
86,4456,3259
87,2273,1729
88,4664,3618
89,2421,1924
90,4964,4056
91,7681,6534
92,2748,2390
93,5594,4802
94,2921,2633
95,5957,5255
96,3123,2814
97,6365,5881
98,3197,3177
99,6602,6318
100,3471,3260
101,7232,7033
102,7303,7411
103,3735,3806
104,11752,12154
105,3955,4241
106,8319,8940
107,4436,4568
108,8797,9617
109,4500,4997
110,9581,10154
111,4583,4947
112,9660,10599
113,9617,10958
114,4993,5621
115,9797,10790
116,4881,5488
117,9452,10598
118,9089,10062
119,8555,9192
120,4176,4464
121,7845,7824
122,6645,6548
123,2518,2253
124,5587,5018
125,1077,1106
126,3013,2179
127,1765,1449
