normalized_score,male,female
65,368,131
66,29,20
67,42,35
68,18,10
69,126,64
70,164,93
71,638,254
72,920,501
73,664,375
74,2095,1163
75,1042,583
76,4797,2421
77,3270,1865
78,1786,1121
79,3913,2190
80,8916,4265
81,1783,1152
82,3990,2742
83,2168,1419
84,4207,2951
85,4504,3113
86,2575,1822
87,4990,3696
88,2623,2008
89,5422,4231
90,5778,4678
91,3089,2539
92,6570,5598
93,3474,2981
94,7329,6524
95,7810,7169
96,4120,3815
97,8479,8129
98,9052,8829
99,4560,4541
100,9635,9712
101,4782,5048
102,9826,10313
103,9926,10728
104,4930,5504
105,9882,11022
106,4814,5621
107,9574,11058
108,9452,11223
109,4617,5365
110,9041,10859
111,4380,5305
112,8254,9908
113,7777,9558
114,3788,4569
115,6865,8576
116,6284,7992
117,2991,3703
118,5523,6726
119,2439,3015
120,4389,5464
121,3767,4481
122,1544,1842
123,2336,2856
124,1264,1441
125,1180,1505
126,517,623
127,404,493
