subject,type,standard_score,male,female
korean,korean,134,749,768
korean,korean,132,1610,1492
korean,korean,131,753,882
korean,korean,130,2012,1606
korean,korean,129,2055,2218
korean,korean,128,5031,4919
korean,korean,127,2459,2510
korean,korean,126,3493,3695
korean,korean,125,3142,3403
korean,korean,124,3793,3975
korean,korean,123,3673,4198
korean,korean,122,3783,4255
korean,korean,121,4257,4610
korean,korean,120,3975,4388
korean,korean,119,8625,9713
korean,korean,118,4604,5285
korean,korean,117,4369,5010
korean,korean,116,4615,5176
korean,korean,115,4574,5253
korean,korean,114,4527,5233
korean,korean,113,4619,5269
korean,korean,112,4552,5173
korean,korean,111,4827,5460
korean,korean,110,8995,10242
korean,korean,109,4443,4996
korean,korean,108,4614,5118
korean,korean,107,4483,5094
korean,korean,106,4503,4859
korean,korean,105,4404,4919
korean,korean,104,4319,4810
korean,korean,103,4391,4653
korean,korean,102,4138,4608
korean,korean,101,8038,8631
korean,korean,100,4023,4287
korean,korean,99,3853,4189
korean,korean,98,3906,3964
korean,korean,97,3612,3902
korean,korean,96,3518,3553
korean,korean,95,3464,3477
korean,korean,94,3425,3365
korean,korean,93,3181,3343
korean,korean,92,6224,6194
korean,korean,91,2830,2861
korean,korean,90,2763,2705
korean,korean,89,2631,2659
korean,korean,88,2534,2460
korean,korean,87,2353,2376
korean,korean,86,2211,2246
korean,korean,85,2111,2086
korean,korean,84,2031,2035
korean,korean,83,1989,1856
korean,korean,82,3681,3551
korean,korean,81,1719,1678
korean,korean,80,1597,1656
korean,korean,79,1592,1520
korean,korean,78,1588,1476
korean,korean,77,1527,1406
korean,korean,76,1447,1324
korean,korean,75,1427,1300
korean,korean,74,1461,1293
korean,korean,73,2896,2562
korean,korean,72,1367,1184
korean,korean,71,1716,1262
korean,korean,70,1533,1106
korean,korean,69,1849,1232
korean,korean,68,1639,1168
korean,korean,67,2232,1407
korean,korean,66,1949,1361
korean,korean,65,8006,3578
korean,korean,64,6429,3943
korean,korean,63,1898,1189
korean,korean,62,1716,1088
korean,korean,61,1727,1045
korean,korean,60,1417,933
korean,korean,59,1536,976
korean,korean,58,1950,1180
korean,korean,57,1830,1085
korean,korean,56,856,501
korean,korean,55,1428,846
korean,korean,54,435,244
korean,korean,53,382,199
korean,korean,52,177,125
korean,korean,51,201,94
korean,korean,50,104,62
korean,korean,49,89,56
korean,korean,48,45,22
korean,korean,47,66,28
korean,korean,46,10,6
korean,korean,45,56,24
korean,korean,44,739,262
