subject,type,standard_score,male,female
korean,korean,146,103,79
korean,korean,144,191,129
korean,korean,143,152,89
korean,korean,142,184,127
korean,korean,141,436,312
korean,korean,140,280,159
korean,korean,139,606,507
korean,korean,138,594,440
korean,korean,137,696,592
korean,korean,136,985,766
korean,korean,135,870,703
korean,korean,134,1229,1070
korean,korean,133,1209,1047
korean,korean,132,1337,1245
korean,korean,131,1596,1556
korean,korean,130,1651,1496
korean,korean,129,1880,1932
korean,korean,128,1889,2018
korean,korean,127,2118,2263
korean,korean,126,2210,2422
korean,korean,125,2276,2519
korean,korean,124,2441,2864
korean,korean,123,2454,2930
korean,korean,122,2729,3167
korean,korean,121,2731,3247
korean,korean,120,2978,3518
korean,korean,119,2901,3555
korean,korean,118,2938,3698
korean,korean,117,3076,3728
korean,korean,116,3096,3826
korean,korean,115,3033,3913
korean,korean,114,3129,3982
korean,korean,113,3914,4855
korean,korean,112,3250,4205
korean,korean,111,3249,3961
korean,korean,110,3228,4082
korean,korean,109,3272,4075
korean,korean,108,3271,3995
korean,korean,107,3283,3919
korean,korean,106,3270,3896
korean,korean,105,3128,3748
korean,korean,104,3192,3781
korean,korean,103,3159,3748
korean,korean,102,3181,3715
korean,korean,101,3108,3489
korean,korean,100,3003,3577
korean,korean,99,3019,3328
korean,korean,98,3039,3316
korean,korean,97,3009,3234
korean,korean,96,2929,3262
korean,korean,95,2902,3037
korean,korean,94,3061,3260
korean,korean,93,2798,2982
korean,korean,92,2790,2861
korean,korean,91,2696,2782
korean,korean,90,2564,2680
korean,korean,89,2603,2595
korean,korean,88,2630,2502
korean,korean,87,2599,2408
korean,korean,86,2407,2362
korean,korean,85,2480,2342
korean,korean,84,2414,2191
korean,korean,83,2298,2195
korean,korean,82,2250,2091
korean,korean,81,2194,2007
korean,korean,80,2166,1941
korean,korean,79,2204,1866
korean,korean,78,2253,1849
korean,korean,77,2241,1744
korean,korean,76,2134,1782
korean,korean,75,2361,1783
korean,korean,74,2408,1705
korean,korean,73,2343,1608
korean,korean,72,2242,1607
korean,korean,71,2731,1730
korean,korean,70,2244,1451
korean,korean,69,2654,1604
korean,korean,68,4003,1928
korean,korean,67,2023,1154
korean,korean,66,6288,2814
korean,korean,65,1479,850
korean,korean,64,1844,945
korean,korean,63,1070,659
korean,korean,62,894,533
korean,korean,61,744,405
korean,korean,60,502,278
korean,korean,59,445,236
korean,korean,58,309,122
korean,korean,57,223,98
korean,korean,56,124,72
korean,korean,55,103,53
korean,korean,54,90,44
korean,korean,53,44,22
korean,korean,52,66,30
korean,korean,51,15,12
korean,korean,50,213,69
korean,korean,49,2,5
korean,korean,48,495,180
