subject,type,standard_score,male,female
korean,korean,140,463,314
korean,korean,138,915,614
korean,korean,137,604,481
korean,korean,136,925,744
korean,korean,135,"1,667","1,406"
korean,korean,134,"1,197",942
korean,korean,133,"2,365","2,096"
korean,korean,132,"1,801","1,542"
korean,korean,131,"2,753","2,453"
korean,korean,130,"2,615","2,335"
korean,korean,129,"2,809","2,580"
korean,korean,128,"3,142","2,888"
korean,korean,127,"2,931","2,843"
korean,korean,126,"3,411","3,318"
korean,korean,125,"3,238","3,147"
korean,korean,124,"3,516","3,462"
korean,korean,123,"3,551","3,495"
korean,korean,122,"3,577","3,594"
korean,korean,121,"3,803","3,777"
korean,korean,120,"3,865","3,657"
korean,korean,119,"3,845","3,922"
korean,korean,118,"3,733","3,789"
korean,korean,117,"3,868","3,984"
korean,korean,116,"3,910","4,045"
korean,korean,115,"3,773","4,053"
korean,korean,114,"3,822","4,109"
korean,korean,113,"3,915","4,139"
korean,korean,112,"3,822","4,164"
korean,korean,111,"3,909","4,225"
korean,korean,110,"3,970","4,075"
korean,korean,109,"3,866","4,225"
korean,korean,108,"3,939","4,140"
korean,korean,107,"3,900","4,220"
korean,korean,106,"3,927","4,213"
korean,korean,105,"3,951","4,306"
korean,korean,104,"3,902","4,291"
korean,korean,103,"4,065","4,001"
korean,korean,102,"3,874","4,154"
korean,korean,101,"3,847","4,174"
korean,korean,100,"3,873","4,086"
korean,korean,99,"3,963","4,045"
korean,korean,98,"3,799","4,037"
korean,korean,97,"3,836","3,937"
korean,korean,96,"3,838","3,898"
korean,korean,95,"3,792","3,943"
korean,korean,94,"3,735","3,817"
korean,korean,93,"3,764","3,784"
korean,korean,92,"3,599","3,682"
korean,korean,91,"3,718","3,623"
korean,korean,90,"3,668","3,564"
korean,korean,89,"3,586","3,370"
korean,korean,88,"3,454","3,508"
korean,korean,87,"3,444","3,298"
korean,korean,86,"3,386","3,195"
korean,korean,85,"3,315","3,191"
korean,korean,84,"3,280","3,011"
korean,korean,83,"3,324","2,866"
korean,korean,82,"3,029","2,969"
korean,korean,81,"3,172","2,887"
korean,korean,80,"2,903","2,578"
korean,korean,79,"2,769","2,685"
korean,korean,78,"2,870","2,603"
korean,korean,77,"2,710","2,423"
korean,korean,76,"2,700","2,299"
korean,korean,75,"2,533","2,189"
korean,korean,74,"2,587","2,091"
korean,korean,73,"2,574","2,069"
korean,korean,72,"2,399","1,902"
korean,korean,71,"2,225","1,903"
korean,korean,70,"2,228","1,666"
korean,korean,69,"2,185","1,658"
korean,korean,68,"2,048","1,511"
korean,korean,67,"2,139","1,509"
korean,korean,66,"1,919","1,355"
korean,korean,65,"1,871","1,328"
korean,korean,64,"4,371","2,621"
korean,korean,63,"1,427",972
korean,korean,62,"1,557",959
korean,korean,61,"1,415",838
korean,korean,60,996,595
korean,korean,59,962,581
korean,korean,58,735,459
korean,korean,57,794,458
korean,korean,56,474,263
korean,korean,55,357,186
korean,korean,54,314,230
korean,korean,53,202,137
korean,korean,52,193,109
korean,korean,51,132,87
