subject,type,standard_score,male,female
korean,korean,139,761,516
korean,korean,136,1238,909
korean,korean,135,898,618
korean,korean,134,1184,908
korean,korean,133,2169,1591
korean,korean,132,1410,1105
korean,korean,131,2653,2194
korean,korean,130,2167,1805
korean,korean,129,2900,2396
korean,korean,128,3033,2744
korean,korean,127,3135,2761
korean,korean,126,3917,3504
korean,korean,125,3507,3151
korean,korean,124,4253,4182
korean,korean,123,3880,3791
korean,korean,122,4506,4719
korean,korean,121,4495,4401
korean,korean,120,4777,5127
korean,korean,119,4725,5086
korean,korean,118,5027,5404
korean,korean,117,5109,5607
korean,korean,116,5161,5801
korean,korean,114,5475,5996
korean,korean,113,5306,5989
korean,korean,112,5494,6321
korean,korean,111,5419,6150
korean,korean,110,5628,6547
korean,korean,109,5476,6272
korean,korean,108,5482,6543
korean,korean,107,5568,6319
korean,korean,106,5413,6296
korean,korean,105,5396,6301
korean,korean,104,5152,6061
korean,korean,103,5327,6087
korean,korean,102,5229,5836
korean,korean,101,5034,5811
korean,korean,100,5013,5615
korean,korean,99,4900,5396
korean,korean,98,4941,5232
korean,korean,97,4632,5020
korean,korean,96,4550,4925
korean,korean,95,4455,4626
korean,korean,94,4359,4386
korean,korean,92,4332,4305
korean,korean,91,4184,4151
korean,korean,90,3944,3961
korean,korean,89,3921,3704
korean,korean,88,3801,3519
korean,korean,87,3625,3437
korean,korean,86,3470,3276
korean,korean,85,3311,3045
korean,korean,84,3397,3096
korean,korean,83,3255,2763
korean,korean,82,3066,2684
korean,korean,81,3056,2559
korean,korean,80,2999,2450
korean,korean,79,2830,2301
korean,korean,78,2848,2223
korean,korean,77,2720,2117
korean,korean,76,2572,2063
korean,korean,75,2599,1951
korean,korean,74,2480,1736
korean,korean,73,2390,1801
korean,korean,72,2332,1596
korean,korean,70,2208,1558
korean,korean,69,2111,1491
korean,korean,68,2028,1427
korean,korean,67,2125,1258
korean,korean,66,2095,1319
korean,korean,65,1872,1238
korean,korean,64,1764,1185
korean,korean,63,1826,1112
korean,korean,62,1789,1028
korean,korean,61,2052,1162
korean,korean,60,1532,931
korean,korean,59,1475,820
korean,korean,58,1377,797
korean,korean,57,1199,684
korean,korean,56,1383,701
korean,korean,55,1068,569
korean,korean,54,2358,859
korean,korean,53,869,452
korean,korean,52,783,395
korean,korean,51,652,340
korean,korean,50,600,291
korean,korean,48,565,301
korean,korean,47,325,150
korean,korean,46,251,139
korean,korean,45,180,101
korean,korean,44,238,123
korean,korean,43,82,69
korean,korean,42,86,56
korean,korean,41,40,48
korean,korean,40,41,33
korean,korean,39,30,17
korean,korean,38,29,30
korean,korean,37,9,11
korean,korean,36,31,40
korean,korean,34,137,90
