subject,type,standard_score,male,female
korean,korean,127,3398,3010
korean,korean,126,716,605
korean,korean,125,2230,2182
korean,korean,124,5213,4792
korean,korean,123,4517,4488
korean,korean,122,4037,4030
korean,korean,121,3679,3787
korean,korean,120,5215,5487
korean,korean,119,3765,3942
korean,korean,118,5655,5878
korean,korean,117,5951,6492
korean,korean,116,4836,5346
korean,korean,115,4264,4792
korean,korean,114,5252,5720
korean,korean,113,4536,4976
korean,korean,112,5558,6184
korean,korean,111,4317,4961
korean,korean,110,5435,6193
korean,korean,109,4338,4618
korean,korean,108,4724,5296
korean,korean,107,4234,4824
korean,korean,106,4620,5201
korean,korean,105,3931,4386
korean,korean,104,4096,4657
korean,korean,103,3646,3928
korean,korean,102,3628,3782
korean,korean,101,3780,4010
korean,korean,100,3507,3986
korean,korean,99,3018,3338
korean,korean,98,3202,3500
korean,korean,97,2824,3040
korean,korean,96,2752,2933
korean,korean,95,2680,2881
korean,korean,94,2333,2424
korean,korean,93,2435,2540
korean,korean,92,2142,2191
korean,korean,91,1980,2052
korean,korean,90,2066,2008
korean,korean,89,1862,1821
korean,korean,88,1762,1789
korean,korean,87,1738,1702
korean,korean,86,1602,1534
korean,korean,85,1451,1423
korean,korean,84,1413,1310
korean,korean,83,1347,1239
korean,korean,82,1274,1192
korean,korean,81,1188,1123
korean,korean,80,1222,1132
korean,korean,79,1060,1071
korean,korean,78,1192,1059
korean,korean,77,1022,991
korean,korean,76,1045,986
korean,korean,75,969,887
korean,korean,74,1011,945
korean,korean,73,1022,890
korean,korean,72,1005,838
korean,korean,71,1031,935
korean,korean,70,1146,945
korean,korean,69,1098,900
korean,korean,68,1184,984
korean,korean,67,1237,922
korean,korean,66,1318,894
korean,korean,65,1382,961
korean,korean,64,1786,1142
korean,korean,63,1514,1058
korean,korean,62,2893,1659
korean,korean,61,1519,968
korean,korean,60,1878,1151
korean,korean,59,2516,1090
korean,korean,58,2220,1191
korean,korean,57,1495,856
korean,korean,56,4617,1732
korean,korean,55,1338,706
korean,korean,54,903,466
korean,korean,53,604,303
korean,korean,52,555,276
korean,korean,51,322,170
korean,korean,50,249,146
korean,korean,49,194,128
korean,korean,48,125,59
korean,korean,47,97,46
korean,korean,46,38,24
korean,korean,45,49,20
korean,korean,44,199,54
korean,korean,43,46,16
korean,korean,42,2,3
korean,korean,41,519,190
