subject,type,standard_score,male,female
korean,korean,150,98,50
korean,korean,148,188,79
korean,korean,146,154,86
korean,korean,145,194,77
korean,korean,144,378,280
korean,korean,143,327,227
korean,korean,142,611,388
korean,korean,141,573,442
korean,korean,140,814,515
korean,korean,139,931,771
korean,korean,138,1018,797
korean,korean,136,1357,1159
korean,korean,135,1380,1119
korean,korean,134,1747,1514
korean,korean,133,1824,1573
korean,korean,132,2184,1868
korean,korean,131,2283,2194
korean,korean,130,2692,2319
korean,korean,129,2786,2588
korean,korean,128,3004,2788
korean,korean,126,3259,3196
korean,korean,125,3360,3298
korean,korean,124,3549,3561
korean,korean,123,3739,3786
korean,korean,122,3974,4027
korean,korean,121,4104,4153
korean,korean,120,4265,4429
korean,korean,119,4504,4595
korean,korean,118,4507,4815
korean,korean,117,4628,4829
korean,korean,115,4681,4997
korean,korean,114,4832,5159
korean,korean,113,4847,5222
korean,korean,112,4991,5452
korean,korean,111,5012,5236
korean,korean,110,4996,5461
korean,korean,109,5080,5393
korean,korean,108,4950,5533
korean,korean,107,5172,5300
korean,korean,105,5076,5137
korean,korean,104,5205,5378
korean,korean,103,5018,5377
korean,korean,102,5057,5366
korean,korean,101,4907,5109
korean,korean,100,4983,5237
korean,korean,99,4867,5027
korean,korean,98,4968,4943
korean,korean,97,4835,4992
korean,korean,95,4718,4739
korean,korean,94,4761,4745
korean,korean,93,4690,4826
korean,korean,92,4649,4785
korean,korean,91,4551,4526
korean,korean,90,4499,4444
korean,korean,89,4412,4257
korean,korean,88,4363,4286
korean,korean,87,4242,4094
korean,korean,86,4160,4085
korean,korean,84,4123,3773
korean,korean,83,3795,3701
korean,korean,82,3759,3615
korean,korean,81,3689,3526
korean,korean,80,3569,3231
korean,korean,79,3561,3142
korean,korean,78,3393,2985
korean,korean,77,3331,2809
korean,korean,76,3206,2704
korean,korean,74,3081,2461
korean,korean,73,2986,2423
korean,korean,72,2857,2202
korean,korean,71,2905,2086
korean,korean,70,2657,2026
korean,korean,69,2595,1817
korean,korean,68,2522,1739
korean,korean,67,2296,1568
korean,korean,66,2667,1605
korean,korean,64,1998,1229
korean,korean,63,3334,1598
korean,korean,62,1750,1022
korean,korean,61,1788,1030
korean,korean,60,1353,700
korean,korean,59,1308,671
korean,korean,58,878,460
korean,korean,57,788,462
korean,korean,56,610,313
korean,korean,55,523,314
korean,korean,53,354,176
korean,korean,52,257,167
korean,korean,51,181,102
korean,korean,50,156,93
korean,korean,49,99,49
korean,korean,48,86,46
korean,korean,47,51,40
korean,korean,46,50,37
korean,korean,45,21,22
korean,korean,43,31,35
korean,korean,42,7,10
korean,korean,41,37,36
korean,korean,39,230,105
