subject,type,standard_score,male,female
korean,korean,142,55 ,80 
korean,korean,141,55 ,77 
korean,korean,140,130 ,140 
korean,korean,139,264 ,294 
korean,korean,138,205 ,297 
korean,korean,137,495 ,563 
korean,korean,136,492 ,624 
korean,korean,135,431 ,503 
korean,korean,134,687 ,833 
korean,korean,133,952 ,"1,017 "
korean,korean,132,"1,112 ","1,225 "
korean,korean,131,"1,075 ","1,180 "
korean,korean,130,"1,372 ","1,527 "
korean,korean,129,"1,501 ","1,713 "
korean,korean,128,"1,830 ","2,064 "
korean,korean,127,"1,996 ","2,014 "
korean,korean,126,"1,654 ","1,912 "
korean,korean,125,"2,063 ","2,445 "
korean,korean,124,"2,361 ","2,661 "
korean,korean,123,"2,606 ","2,843 "
korean,korean,122,"2,451 ","2,727 "
korean,korean,121,"2,749 ","3,022 "
korean,korean,120,"2,807 ","3,030 "
korean,korean,119,"3,020 ","3,389 "
korean,korean,118,"3,201 ","3,605 "
korean,korean,117,"2,953 ","3,421 "
korean,korean,116,"3,430 ","3,856 "
korean,korean,115,"3,531 ","4,016 "
korean,korean,114,"3,341 ","3,646 "
korean,korean,113,"3,142 ","3,462 "
korean,korean,112,"3,532 ","4,036 "
korean,korean,111,"3,729 ","4,352 "
korean,korean,110,"3,842 ","4,281 "
korean,korean,109,"3,640 ","3,946 "
korean,korean,108,"3,529 ","3,828 "
korean,korean,107,"3,788 ","4,174 "
korean,korean,106,"3,907 ","4,314 "
korean,korean,105,"3,892 ","4,295 "
korean,korean,104,"3,464 ","3,772 "
korean,korean,103,"3,900 ","4,149 "
korean,korean,102,"3,239 ","3,457 "
korean,korean,101,"3,777 ","3,924 "
korean,korean,100,"3,662 ","3,695 "
korean,korean,99,"3,477 ","3,725 "
korean,korean,98,"3,577 ","3,654 "
korean,korean,97,"3,142 ","3,199 "
korean,korean,96,"2,937 ","3,010 "
korean,korean,95,"2,948 ","2,958 "
korean,korean,94,"3,049 ","3,113 "
korean,korean,93,"2,941 ","3,001 "
korean,korean,92,"2,897 ","2,792 "
korean,korean,91,"2,176 ","2,111 "
korean,korean,90,"2,617 ","2,453 "
korean,korean,89,"2,614 ","2,365 "
korean,korean,88,"2,431 ","2,214 "
korean,korean,87,"2,338 ","2,139 "
korean,korean,86,"2,091 ","1,954 "
korean,korean,85,"1,882 ","1,612 "
korean,korean,84,"1,912 ","1,739 "
korean,korean,83,"1,932 ","1,656 "
korean,korean,82,"1,653 ","1,556 "
korean,korean,81,"1,707 ","1,426 "
korean,korean,80,"1,533 ","1,318 "
korean,korean,79,"1,509 ","1,234 "
korean,korean,78,"1,494 ","1,195 "
korean,korean,77,"1,481 ","1,164 "
korean,korean,76,"1,453 ","1,100 "
korean,korean,75,"1,352 ","1,084 "
korean,korean,74,"1,275 ",972 
korean,korean,73,"1,151 ",879 
korean,korean,72,"1,318 ","1,040 "
korean,korean,71,"1,293 ",968 
korean,korean,70,"1,395 ","1,012 "
korean,korean,69,"1,194 ",919 
korean,korean,68,"1,779 ","1,031 "
korean,korean,67,"1,305 ",811 
korean,korean,66,"2,793 ","1,565 "
korean,korean,65,"1,621 ",990 
korean,korean,64,"1,250 ",783 
korean,korean,63,"2,484 ","1,137 "
korean,korean,62,936 ,512 
korean,korean,61,"1,207 ",645 
korean,korean,60,"4,036 ","1,656 "
korean,korean,59,972 ,560 
korean,korean,58,845 ,461 
korean,korean,57,844 ,430 
korean,korean,56,"1,005 ",481 
korean,korean,55,477 ,258 
korean,korean,54,704 ,361 
korean,korean,53,358 ,171 
korean,korean,52,264 ,125 
korean,korean,51,175 ,104 
korean,korean,50,148 ,70 
korean,korean,49,106 ,56 
korean,korean,48,86 ,48 
korean,korean,47,53 ,29 
korean,korean,46,45 ,17 
korean,korean,45,28 ,12 
korean,korean,44,16 ,10 
korean,korean,43,239 ,73 
korean,korean,42,5 ,0 
korean,korean,41,618 ,250 
