subject,type,standard_score,male,female
korean,korean,140,197 ,146 
korean,korean,138,277 ,265 
korean,korean,137,319 ,212 
korean,korean,136,361 ,297 
korean,korean,135,839 ,579 
korean,korean,134,884 ,683 
korean,korean,133,"1,061 ",989 
korean,korean,132,"1,074 ",992 
korean,korean,131,"1,377 ","1,234 "
korean,korean,130,"1,533 ","1,316 "
korean,korean,129,"1,908 ","1,850 "
korean,korean,128,"2,135 ","1,988 "
korean,korean,127,"2,085 ","2,181 "
korean,korean,126,"2,196 ","2,195 "
korean,korean,125,"2,244 ","2,361 "
korean,korean,124,"2,567 ","2,883 "
korean,korean,123,"2,646 ","2,732 "
korean,korean,122,"3,070 ","3,517 "
korean,korean,121,"2,949 ","3,287 "
korean,korean,120,"3,917 ","4,318 "
korean,korean,119,"3,747 ","4,332 "
korean,korean,118,"3,248 ","3,866 "
korean,korean,117,"3,339 ","4,235 "
korean,korean,116,"3,712 ","4,352 "
korean,korean,115,"3,427 ","4,053 "
korean,korean,114,"3,628 ","4,209 "
korean,korean,113,"3,539 ","4,110 "
korean,korean,112,"3,830 ","4,527 "
korean,korean,111,"3,571 ","4,136 "
korean,korean,110,"4,109 ","4,683 "
korean,korean,109,"3,356 ","4,024 "
korean,korean,108,"3,472 ","4,092 "
korean,korean,107,"3,584 ","4,143 "
korean,korean,106,"3,296 ","3,730 "
korean,korean,105,"3,318 ","3,729 "
korean,korean,104,"3,309 ","3,713 "
korean,korean,103,"3,347 ","3,739 "
korean,korean,102,"3,626 ","4,072 "
korean,korean,101,"2,958 ","3,212 "
korean,korean,100,"2,983 ","3,225 "
korean,korean,99,"2,910 ","3,128 "
korean,korean,98,"2,847 ","3,086 "
korean,korean,97,"2,607 ","2,881 "
korean,korean,96,"2,627 ","2,748 "
korean,korean,95,"2,700 ","2,767 "
korean,korean,94,"2,960 ","3,011 "
korean,korean,93,"2,534 ","2,526 "
korean,korean,92,"2,388 ","2,308 "
korean,korean,91,"2,414 ","2,359 "
korean,korean,90,"2,395 ","2,318 "
korean,korean,89,"2,211 ","2,145 "
korean,korean,88,"2,210 ","2,046 "
korean,korean,87,"2,144 ","1,927 "
korean,korean,86,"2,122 ","1,995 "
korean,korean,85,"2,189 ","2,079 "
korean,korean,84,"2,011 ","1,934 "
korean,korean,83,"1,959 ","1,776 "
korean,korean,82,"1,924 ","1,735 "
korean,korean,81,"1,783 ","1,582 "
korean,korean,80,"1,810 ","1,654 "
korean,korean,79,"1,748 ","1,453 "
korean,korean,78,"1,772 ","1,516 "
korean,korean,77,"1,705 ","1,505 "
korean,korean,76,"1,645 ","1,509 "
korean,korean,75,"1,625 ","1,360 "
korean,korean,74,"1,834 ","1,445 "
korean,korean,73,"1,790 ","1,371 "
korean,korean,72,"2,323 ","1,585 "
korean,korean,71,"1,967 ","1,434 "
korean,korean,70,"3,265 ","2,084 "
korean,korean,69,"2,050 ","1,301 "
korean,korean,68,"1,794 ","1,182 "
korean,korean,67,"3,161 ","1,567 "
korean,korean,66,"1,940 ","1,219 "
korean,korean,65,"1,800 ","1,054 "
korean,korean,64,"1,793 ","1,126 "
korean,korean,63,"5,296 ","2,284 "
korean,korean,62,"1,354 ",784 
korean,korean,61,"1,413 ",906 
korean,korean,60,813 ,511 
korean,korean,59,627 ,380 
korean,korean,58,558 ,327 
korean,korean,57,346 ,179 
korean,korean,56,267 ,158 
korean,korean,55,225 ,112 
korean,korean,54,186 ,89 
korean,korean,53,109 ,47 
korean,korean,52,56 ,37 
korean,korean,51,55 ,33 
korean,korean,50,42 ,10 
korean,korean,49,42 ,14 
korean,korean,48,57 ,13 
korean,korean,47,236 ,78 
korean,korean,46,726 ,297 
