subject,type,standard_score,male,female
korean,korean,144,93,58
korean,korean,142,256,181
korean,korean,141,161,147
korean,korean,140,395,242
korean,korean,139,583,422
korean,korean,138,539,398
korean,korean,137,1013,843
korean,korean,136,851,720
korean,korean,134,1413,1081
korean,korean,133,1381,1165
korean,korean,132,1633,1344
korean,korean,131,1927,1621
korean,korean,130,1902,1710
korean,korean,129,2371,2186
korean,korean,128,2344,2092
korean,korean,127,2784,2546
korean,korean,126,2653,2563
korean,korean,125,3017,2872
korean,korean,124,3146,2942
korean,korean,123,3253,3061
korean,korean,122,3558,3508
korean,korean,120,3405,3288
korean,korean,119,3720,3646
korean,korean,118,3606,3735
korean,korean,117,3839,3928
korean,korean,116,3880,4001
korean,korean,115,3995,4052
korean,korean,114,3931,4096
korean,korean,113,4022,4155
korean,korean,112,4014,4166
korean,korean,111,3964,4233
korean,korean,110,4034,4259
korean,korean,109,3982,4176
korean,korean,108,4129,4242
korean,korean,106,3986,4145
korean,korean,105,4203,4264
korean,korean,104,4085,4204
korean,korean,103,4080,4178
korean,korean,102,3830,4158
korean,korean,101,3918,4097
korean,korean,100,3850,4106
korean,korean,99,3829,4050
korean,korean,98,3859,3879
korean,korean,97,3763,3832
korean,korean,96,3537,3883
korean,korean,95,3609,3814
korean,korean,94,3502,3559
korean,korean,92,3406,3588
korean,korean,91,3401,3384
korean,korean,90,3357,3375
korean,korean,89,3252,3257
korean,korean,88,3217,3258
korean,korean,87,3074,2987
korean,korean,86,2996,2951
korean,korean,85,2926,2861
korean,korean,84,2915,2682
korean,korean,83,2824,2704
korean,korean,82,2805,2603
korean,korean,81,2594,2402
korean,korean,80,2491,2371
korean,korean,78,2484,2274
korean,korean,77,2414,2091
korean,korean,76,2285,1923
korean,korean,75,2203,1960
korean,korean,74,2078,1789
korean,korean,73,2103,1679
korean,korean,72,1999,1600
korean,korean,71,2029,1450
korean,korean,70,1852,1337
korean,korean,69,1851,1296
korean,korean,68,1783,1221
korean,korean,67,1588,1163
korean,korean,66,1649,1129
korean,korean,64,2102,1226
korean,korean,63,1521,945
korean,korean,62,1351,757
korean,korean,61,1345,834
korean,korean,60,1205,658
korean,korean,59,1118,587
korean,korean,58,824,516
korean,korean,57,1763,690
korean,korean,56,849,463
korean,korean,55,566,286
korean,korean,54,474,256
korean,korean,53,556,293
korean,korean,52,319,162
korean,korean,50,219,110
korean,korean,49,193,87
korean,korean,48,130,62
korean,korean,47,114,50
korean,korean,46,50,35
korean,korean,45,64,36
korean,korean,44,26,25
korean,korean,43,28,18
korean,korean,42,12,8
korean,korean,41,11,10
korean,korean,40,5,6
korean,korean,39,13,10
korean,korean,36,135,58
